dset	format	protocol	real	user	sys	notes	blockCnt	baseCnt	date
10plusway-mapq	hdf5_gzip2	udc	117.52	68.53	3.57	master	13682	233005	2018-12-09
10plusway-mapq	hdf5_uncmp	udc	81.79	69.00	3.61	master	13682	233005	2018-12-09
10plusway-mapq	hdf5_gzip2	udc	98.20	56.23	3.71	baseline	13682	233005	2018-12-09
10plusway-mapq	hdf5_uncmp	udc	67.12	55.84	3.46	baseline	13682	233005	2018-12-09
10plusway-mapq	mmap	udc	1438.81	528.55	883.69	baseline	13682	233005	2018-12-09
10plusway-mapq	hdf5_gzip2	udc	52.13	50.61	0.92	libcurl	13682	233005	2018-12-30
10plusway-mapq	hdf5_uncmp	udc	53.59	52.08	0.90	libcurl	13682	233005	2018-12-30
10plusway-mapq	mmap	udc	1248.43	439.04	808.64	libcurl	13682	233005	2018-12-30
10plusway-mapq	hdf5_gzip2	udc	51.62	48.70	1.09	mmap udc bits	13682	233005	2019-01-03
10plusway-mapq	hdf5_uncmp	udc	52.78	50.07	1.03	mmap udc bits	13682	233005	2019-01-03
10plusway-mapq	mmap	udc	120.11	108.67	3.55	mmap udc bits	13682	233005	2019-01-03
10plusway-mapq	hdf5_gzip2	udc	49.87	47.35	0.79	no udc big split	13682	233005	2019-01-03
10plusway-mapq	hdf5_uncmp	udc	51.18	48.37	1.03	no udc big split	13682	233005	2019-01-03
10plusway-mapq	mmap	udc	50.71	44.73	3.24	no udc big split	13682	233005	2019-01-03
