dset	format	protocol	real	user	sys	notes	date
10plusway-mapq	hdf5_gzip2	local	197.64	166.16	3.63	baseline10 threads	 2018-12-06
10plusway-mapq	hdf5_uncmp	local	212.16	167.67	3.88	baseline10 threads	 2018-12-06
10plusway-mapq	mmap	local	105.12	81.34	2.86	baseline10 threads	 2018-12-06
10plusway-mapq	hdf5_gzip2	udc	200.03	177.13	10.34	baseline10 threads	 2018-12-06
10plusway-mapq	hdf5_uncmp	udc	200.90	177.38	10.44	baseline10 threads	 2018-12-06
10plusway-mapq	mmap	udc	3877.43	1435.55	2404.74	baseline10 threads	 2018-12-06
10plusway-mapq	hdf5_gzip2	local	62.28	20.77	0.84	baseline 1 thread	 2018-12-07
10plusway-mapq	hdf5_uncmp	local	61.88	20.64	0.87	baseline 1 thread	 2018-12-07
10plusway-mapq	mmap	local	43.75	11.85	0.72	baseline 1 thread	 2018-12-07
10plusway-mapq	hdf5_gzip2	udc	62.77	34.56	7.39	baseline 1 thread	 2018-12-07
10plusway-mapq	hdf5_uncmp	udc	62.48	34.73	7.57	baseline 1 thread	 2018-12-07
10plusway-mapq	mmap	udc	561.59	192.91	302.74	baseline 1 thread	 2018-12-07
